,english,math,japanese,total
0,64,53,23,140
1,41,38,45,124
2,40,41,30,111
3,39,27,82,148
4,45,45,61,151
5,44,50,41,135
6,52,36,86,174
7,25,53,35,113
8,24,49,47,120
9,38,42,37,117
10,60,46,26,132
11,45,27,24,96
12,44,47,77,168
13,40,17,65,122
14,33,22,33,88
15,75,34,39,148
16,47,35,17,99
17,44,55,15,114
18,42,56,50,148
19,56,39,38,133
20,22,69,68,159
21,50,56,42,148
22,42,45,12,99
23,39,39,31,109
24,54,55,23,132
25,40,40,19,99
26,55,38,51,144
27,38,48,51,137
28,60,29,70,159
29,34,59,55,148
30,53,36,20,109
31,67,42,44,153
32,57,37,42,136
33,46,44,27,117
34,33,34,51,118
35,52,88,48,188
36,36,53,27,116
37,48,23,29,100
38,51,42,33,126
39,66,43,68,177
40,37,57,39,133
41,41,46,52,139
42,49,41,45,135
43,33,50,30,113
44,41,41,25,107
45,18,60,10,88
46,35,45,28,108
47,58,54,46,158
48,32,59,64,155
49,42,48,66,156
50,42,69,47,158
51,73,25,53,151
52,46,46,38,130
53,35,22,13,70
54,61,15,55,131
55,52,70,56,178
56,35,72,43,150
57,52,43,48,143
58,61,52,32,145
59,49,31,18,98
60,75,73,36,184
61,61,87,26,174
62,40,80,37,157
63,43,39,57,139
64,40,64,64,168
65,57,50,30,137
66,78,38,79,195
67,52,73,58,183
68,65,44,35,144
69,56,61,84,201
70,14,39,9,62
71,43,42,37,122
72,70,65,27,162
73,26,55,19,100
74,35,48,28,111
75,33,35,45,113
76,37,51,30,118
77,52,34,47,133
78,69,62,30,161
79,36,65,28,129
80,60,40,39,139
81,54,48,24,126
82,55,12,37,104
83,41,45,43,129
84,46,39,86,171
85,58,10,48,116
86,68,52,71,191
87,38,24,56,118
88,43,33,25,101
89,56,49,73,178
90,63,42,18,123
91,40,41,41,122
92,50,32,37,119
93,55,48,62,165
94,44,55,9,108
95,61,26,45,132
96,84,50,41,175
97,62,66,42,170
98,51,44,21,116
99,43,47,36,126
100,41,49,83,173
101,86,20,46,152
102,68,53,57,178
103,31,53,33,117
104,23,51,52,126
105,50,42,65,157
106,61,66,78,205
107,65,15,19,99
108,34,43,70,147
109,34,64,31,129
110,40,81,60,181
111,58,36,52,146
112,38,33,36,107
113,45,40,86,171
114,59,62,31,152
115,76,49,43,168
116,54,42,39,135
117,24,34,45,103
118,65,84,25,174
119,79,73,70,222
120,49,70,30,149
121,53,27,47,127
122,61,44,50,155
123,37,74,20,131
124,58,53,31,142
125,23,56,46,125
126,44,43,31,118
127,31,35,22,88
128,47,43,34,124
129,58,61,27,146
130,35,46,72,153
131,75,38,32,145
132,60,61,62,183
133,34,47,32,113
134,39,51,50,140
135,30,34,85,149
