,x
0,77.0
1,43.0
2,53.0
3,46.0
4,96.0
5,36.0
6,84.0
7,33.0
8,33.0
9,50.0
10,95.0
11,41.0
12,62.0
13,45.0
14,34.0
15,51.0
16,44.0
17,74.0
18,41.0
19,33.0
20,37.0
21,61.0
22,95.0
23,40.0
24,55.0
25,39.0
26,32.0
27,53.0
28,34.0
29,44.0
30,40.0
31,89.0
32,42.0
33,33.0
34,63.0
35,35.0
36,38.0
37,43.0
38,42.0
39,40.0
40,63.0
41,36.0
42,59.0
43,93.0
44,49.0
45,43.0
46,40.0
47,36.0
48,40.0
49,42.0
50,44.0
51,33.0
52,32.0
53,81.0
54,36.0
55,67.0
56,37.0
57,35.0
58,38.0
59,37.0
60,56.0
61,68.0
62,43.0
63,41.0
64,38.0
65,48.0
66,45.0
67,53.0
68,60.0
69,47.0
70,39.0
71,55.0
72,33.0
73,35.0
74,62.0
75,54.0
76,52.0
77,39.0
78,35.0
79,34.0
80,74.0
81,41.0
82,44.0
83,44.0
84,38.0
85,54.0
86,35.0
87,52.0
88,78.0
89,44.0
90,91.0
91,40.0
92,71.0
93,58.0
94,38.0
95,32.0
96,66.0
97,42.0
98,37.0
99,64.0
100,61.0
101,50.0
102,45.0
103,48.0
104,47.0
105,44.0
106,47.0
107,35.0
108,42.0
109,52.0
110,39.0
111,42.0
112,83.0
113,38.0
114,49.0
115,95.0
116,48.0
117,56.0
118,66.0
119,39.0
120,33.0
121,55.0
122,83.0
123,43.0
124,38.0
125,43.0
126,38.0
127,44.0
128,80.0
129,48.0
130,65.0
131,84.0
132,32.0
133,43.0
134,61.0
135,39.0
136,38.0
137,71.0
138,38.0
139,45.0
140,46.0
141,44.0
142,86.0
143,36.0
144,53.0
145,45.0
146,50.0
147,43.0
148,39.0
149,47.0
150,44.0
151,53.0
152,32.0
153,65.0
154,41.0
155,34.0
156,55.0
157,58.0
158,36.0
159,85.0
160,46.0
161,49.0
162,48.0
163,38.0
164,65.0
165,74.0
166,47.0
167,44.0
168,49.0
169,92.0
170,32.0
171,55.0
172,59.0
173,40.0
174,49.0
175,42.0
176,51.0
177,35.0
178,52.0
179,44.0
180,89.0
181,44.0
182,35.0
183,47.0
184,72.0
185,66.0
186,42.0
187,52.0
188,36.0
189,92.0
190,60.0
191,40.0
192,45.0
193,33.0
194,46.0
195,68.0
196,85.0
197,47.0
198,57.0
199,36.0
200,62.0
201,35.0
202,37.0
203,74.0
204,42.0
205,45.0
206,48.0
207,48.0
208,47.0
209,86.0
210,36.0
211,45.0
212,33.0
213,77.0
214,51.0
215,51.0
216,81.0
217,42.0
218,43.0
219,81.0
220,62.0
221,47.0
222,43.0
223,45.0
224,55.0
225,46.0
226,41.0
227,50.0
228,54.0
229,37.0
230,44.0
231,36.0
232,41.0
233,39.0
234,42.0
235,61.0
236,56.0
237,54.0
238,44.0
239,42.0
240,70.0
241,32.0
242,65.0
243,62.0
244,50.0
245,39.0
246,72.0
247,39.0
248,53.0
249,42.0
250,39.0
251,40.0
252,32.0
253,35.0
254,42.0
255,34.0
256,56.0
257,34.0
258,46.0
259,40.0
260,41.0
261,37.0
262,51.0
263,42.0
264,44.0
265,54.0
266,35.0
267,44.0
268,53.0
269,38.0
270,74.0
271,58.0
272,37.0
273,43.0
274,91.0
275,44.0
276,34.0
277,33.0
278,39.0
279,44.0
280,41.0
281,95.0
282,39.0
283,34.0
284,39.0
285,62.0
286,60.0
287,49.0
288,98.0
289,34.0
290,88.0
291,49.0
292,91.0
293,42.0
294,81.0
295,80.0
296,39.0
297,40.0
298,69.0
299,65.0
300,43.0
301,42.0
302,40.0
303,48.0
304,45.0
305,43.0
306,71.0
307,44.0
308,54.0
309,35.0
310,44.0
311,44.0
312,54.0
313,66.0
314,52.0
315,38.0
316,47.0
317,45.0
318,37.0
319,50.0
320,74.0
321,61.0
322,46.0
323,57.0
324,50.0
325,47.0
326,55.0
327,44.0
328,39.0
