負担率,収入最低,収入最大,占有割合#最低税率は所得税5%社会保険15%消費税10%として30%とした、所得税は所得1800⇒4000万で5%アップで、1500以上の負担率55.6⇒60%とした
0.30,0,100,0
0.385, 100, 200,0.069
0.435, 200,300,0.146
0.437,300,400,0.145
0.439,400,500,0.129
0.440,500,600,0.107
0.447,600,700,0.085
0.454, 700, 800,0.064
0.465,800,900,0.058
0.475, 900, 1000,0.046
0.486,1000,1100,0.037
0.497,1100,1200,0.026
0.518,1200,1300,0.023
0.534,1300,1400,0.018
0.545,1400,1500,0.01
0.551,1500,1600,0.009
0.554,1600,1900,0.008
0.555,1900,2300,0.007
0.556, 2300, 3000,0.006
0.60,3000,8000,0.002
