,x
0,4657.699954284752
1,2947.7482010827007
2,855.0340778331156
3,3673.2426240494533
4,2638.565175214979
5,1996.1655347446722
6,4570.802445346941
7,3155.8019531651807
8,7190.113421119722
9,10004.995189972085
10,5255.961354532385
11,1781.1709612495833
12,3156.351710467643
13,1665.017456789501
14,3836.6896947523564
15,2692.629431933783
16,9930.746223891594
17,2714.826905240712
18,3037.8593836828586
19,10482.696594069555
20,4235.395277441643
21,7967.002696386254
22,2780.939778222637
23,9614.00874336621
24,2374.181308505853
25,5934.707182790884
26,2454.3848482496833
27,5513.206126334288
28,9092.296159517791
29,3313.0914083551397
30,3933.1649138808134
31,3033.016993594807
32,5177.513113875993
33,3459.997515080424
34,4750.075120028414
35,6195.7261430872095
36,5315.086885208901
37,2247.0326143322454
38,105.50016056880122
39,5024.717043833825
40,1939.6259568445312
41,3755.6722337252504
42,3244.57952662115
43,5300.331125823966
44,6807.346133077572
45,3133.7402766317246
46,6311.815830588765
47,5036.775918424926
48,5751.638940280165
49,5805.85194621417
50,7756.068091545422
51,5596.402847447036
52,2116.5552313801236
53,1130.0416859816542
54,3110.0846870479436
55,2492.8349077509265
56,7269.571661927553
57,3060.7146735106944
58,1700.4637642032394
59,4054.010011329796
60,3631.8062063993275
61,3563.1149850753573
62,3633.003674550462
63,3769.1907623516818
64,7919.000508130571
65,1209.2989570546342
66,1702.5785412350306
67,2648.708542659406
68,3067.163843739283
69,4262.778786598687
70,2325.069899974449
71,2528.5029050297235
72,3575.2465661051247
73,4.8056627322221175
74,6767.679483089518
75,3708.728313199412
76,5905.597900982126
77,5565.378611510016
78,3592.7610698401186
79,5581.246003018914
80,4839.1241708138
81,4909.121863577242
82,8872.72465389168
83,5397.466942420615
84,3383.989567952878
85,1817.6744185675125
86,3244.7075784853514
87,6076.662852145524
88,9624.425996736783
89,2893.5701946572444
90,4902.803084651394
91,6420.248126973653
92,2299.7897967897734
93,7133.365862761882
94,4835.23056382954
95,5138.789168622083
96,5698.038461544456
97,1473.5798296474313
98,4204.090176553502
99,2601.5786615724865
100,4137.108820058711
101,5436.838283171306
102,5373.786196269393
103,5714.800627420667
104,3423.4360059825704
105,2744.5153894788964
106,264.4486724152084
107,6233.179006482396
108,3393.3621770924583
109,3889.7608392297843
110,3708.0531816821167
111,5805.261493562386
112,1670.6004413588162
113,675.9776518535655
114,2000.6459742828301
115,4409.996204101266
116,7801.953931996281
117,3845.802734262099
118,4072.8023698840916
119,4103.039082617404
120,5173.954764598417
121,2742.183280875426
122,3451.630162504589
123,2466.80341263437
124,1864.0208165478325
125,4949.564900935791
126,4514.905138900729
127,5401.490067305967
128,1934.072294832229
129,871.4386970864434
130,2810.534919418562
131,3248.834560532843
132,10491.390930241187
133,9782.967029464935
134,150.50392699695658
135,3577.4522944922137
136,7833.228193896022
137,1086.5825942396768
138,5023.651061139568
139,4647.808687529789
140,5639.6082488587745
141,2791.1252970672867
142,10360.01447332882
143,2226.649840899059
144,2423.588695254737
145,6012.702794070421
146,7625.889309969131
147,3234.2725282801184
148,3060.4704999441456
149,2322.7926380048957
150,2973.66017409131
151,3872.279810063468
152,9781.831862647885
153,2.0892975014430704
154,2292.635557489317
155,6033.262539306343
156,4107.764824229431
157,963.814515690392
158,3091.0527154240335
159,2349.4666572394563
160,3398.222238009628
161,1451.5722595791449
162,5392.7366105370675
163,2009.1777298910456
164,2003.7411250573641
165,7204.440557435573
166,2669.057297821688
167,7734.443829813126
168,2285.5495647555945
169,1264.1693292052514
170,4720.697795537257
171,5266.978940061628
172,3843.1710953236106
173,2891.9130316831724
174,4002.9314813119418
175,5345.773662439395
176,5900.077259759633
177,4399.841426278832
178,4204.155547426708
179,3059.4299844695925
180,2163.9360046189177
181,2174.977833836165
182,3898.3750617832993
183,5121.100230245356
184,1449.1512290031824
185,3069.3981524497867
186,2145.0184655810517
187,6352.881589128572
188,4677.47880205424
189,4603.195511324509
190,3357.569709656542
191,1719.5652943732566
192,8167.529838744416
193,4747.270967738255
194,10869.370308636811
195,7033.808103778203
196,5256.963855327216
197,1789.8420540669467
198,1053.9837443920696
199,9823.849124004373
200,6038.554183633392
201,5567.246976030579
202,5834.515584002798
203,10056.662020522292
204,5724.228371564128
205,1699.99509265276
206,7606.501429350165
207,5908.198865651704
208,2833.778171357866
209,5706.395357914709
210,3324.8343951720744
211,3531.6034617077457
212,3628.1748773746003
213,8413.435510684518
214,6000.046335833429
215,7296.944627399076
216,4295.731541846595
217,2864.534860200867
218,2874.274551592789
219,3143.740275704731
220,4144.39808209434
221,6720.332380720263
222,3776.1638481163172
223,5164.196100626759
224,5513.359025369522
225,6640.441552648164
226,5758.9526094281355
227,6916.15974553146
228,1823.0172852515461
229,4790.611855966981
230,9767.709248213792
231,6698.77546488245
232,9334.040701027037
233,6095.149983264737
234,5889.086376810021
235,4300.915013436377
236,2257.772422742295
237,3066.951873710321
238,3993.32455636331
239,6838.79165563688
240,5287.52495596245
241,1223.9566622898637
242,3013.8733826613607
243,1375.537066927085
244,7224.822821072407
245,2262.062743574046
246,4595.21391426292
247,4580.138910357764
248,3066.2541545478816
249,2052.1214258231266
250,4742.041625066107
251,2916.1636274867997
252,1249.81932915809
253,10389.061078896226
254,4907.207364004742
255,3645.032897616431
256,5411.532452759235
257,5473.392561007629
258,8313.821875825193
259,6446.3650196255185
260,4984.189877897905
261,4089.158442822234
262,4854.340578937277
263,6361.488337164112
264,6946.424598537231
265,6219.6408281188815
266,5139.515332146446
267,5431.899146731721
268,3865.87917522317
269,5275.112265981923
270,5662.92059279868
271,3958.3766334950124
272,4290.036184849407
273,5027.608404015569
274,4618.368720014398
275,6390.310906154817
276,2589.3896152216257
277,4547.696718483108
278,10599.283315825
279,2962.3923537270093
280,3219.773341980501
281,1948.8293245998138
282,4289.645749067604
283,7839.774930844754
284,5126.9772145764
285,1879.4519133819413
286,3242.636279059101
287,3166.220685124281
288,3585.6246078506374
289,5859.661366204091
290,82.85323512162722
291,5061.6416772113225
292,2416.6518025373007
293,5400.885032032482
294,994.8559243906057
295,2464.2426753463733
296,4814.2892355963195
297,7909.686895598165
298,5185.588524572573
299,5240.7195054547265
300,5300.268321821211
301,4142.066874218435
302,4370.283919665835
303,6055.358721815413
304,1545.474428429632
305,6655.630551481743
306,2353.3769996213523
307,2685.8959960431894
308,3775.3252446137412
309,1352.4308614628899
310,9579.310121979428
311,2247.4711422471446
312,10250.681261380261
313,4936.1215713155
314,5648.016029927992
315,3550.614860976115
316,2942.05658840845
317,2987.505242076477
318,4685.693358678542
319,6184.061222027287
320,6786.569825645978
321,3978.342766027359
322,4587.785341640043
323,3461.5602077455696
324,2761.970470123677
325,7046.226943088455
326,8158.662246916384
327,4897.505817655841
328,1693.3355370766803
329,5380.961138855506
330,8090.960585775612
331,1606.4542430402726
332,4521.273928891951
333,5155.013608436238
334,4804.56350212808
335,3945.448486974965
336,4842.689187507549
337,2163.5253847132553
338,3700.6757750498437
339,5474.644686070529
340,3558.1264623324023
341,3081.535176701931
342,5983.244278832866
343,2242.0855090710684
344,173.50124032702297
345,5013.423353791532
346,4661.201315465416
347,4947.438510216416
348,6223.5930488076465
349,3258.381884489114
350,2468.978848172672
351,4039.9724935389895
352,4204.029234972855
353,4235.006445081075
354,3864.7408182250583
355,3843.8736559212193
356,1080.9248103625432
357,6223.784247215386
358,3340.168648182378
359,6093.015180761657
360,7123.062956015408
361,4325.188743250117
362,6452.84673753222
363,180.48007944389246
364,6627.28133711412
365,8602.675373751816
366,4440.242584583557
367,4785.983023381639
368,11228.206572028046
369,6864.575911408361
370,3557.9743890481404
371,4345.829370384072
372,3191.8147285426385
373,2645.1527403028886
374,7205.939759144903
375,982.9789475396683
376,3909.2610770140964
377,4466.479569887666
378,107.49504295332008
379,2569.4504549947233
380,331.2835005882371
381,3713.807090046248
382,3822.936555707827
383,5185.16377557558
384,9209.740972601923
385,3813.8046900519403
386,4781.68413386483
387,5120.165916079055
388,6567.785303164239
389,8354.313250162979
390,3136.0928804085415
391,2181.4569107977004
392,5209.619261857184
393,1490.3304874229143
394,8260.490278608453
395,1656.4668710400074
396,2552.000986359213
397,11414.215132748855
398,2935.8046268511243
399,2382.966642183019
400,3615.6107544029073
401,3590.6174300137063
402,3258.9594158154505
403,3095.101967439128
404,1071.1407225805742
405,3778.5038354265853
406,1321.5471306795152
407,4314.998996224756
408,8538.066801907744
409,1666.0826462764016
410,5934.709633447183
411,7704.034844296939
412,1604.5250179150025
413,7308.932506738077
414,4555.098565111253
415,2362.240224760855
416,4064.3090680376336
417,2318.159439722651
418,4387.850067204785
419,5654.4020363557065
420,7913.541561471224
421,3306.9489534632594
422,9004.25854504386
423,3576.536878160776
424,6436.412009553838
425,1404.2070486229422
426,3964.575810295406
427,5257.060750785102
428,1790.4550515326773
429,935.245985360365
430,5623.517348451045
431,1817.5589894648874
432,3719.787520253296
433,2723.0746551032935
434,3252.3622021041083
435,8888.563179693323
436,4061.016328966427
437,4633.350218265579
438,4346.075992047419
439,3588.822371789218
440,1324.3827141005604
441,416.5806564772647
442,4888.640145750596
443,5111.541817346457
444,9308.920469233488
445,8038.865954809299
446,4427.721930551186
447,7041.799935013916
448,4026.302743940476
449,7071.031562873863
450,724.2790286911331
451,361.35190488165244
452,3316.2414963471383
453,3212.5500847095755
454,1560.7715202314212
