,mathematic
0,69
1,51
2,46
3,61
4,61
5,71
6,60
7,55
8,55
9,55
10,68
11,61
12,58
13,58
14,76
15,61
16,12
17,56
18,58
19,57
20,56
21,79
22,74
23,50
24,65
25,74
26,48
27,48
28,61
29,47
30,51
31,66
32,49
33,56
34,74
35,83
36,58
37,73
38,55
39,65
40,74
41,25
42,59
43,68
44,42
45,80
46,64
47,53
48,64
49,46
50,50
51,73
52,52
53,71
54,68
55,50
56,71
57,77
58,48
59,40
60,42
61,43
62,49
63,61
64,67
65,67
66,67
67,64
68,49
69,46
70,59
71,20
72,50
73,77
74,46
75,52
76,59
77,35
78,58
79,62
80,51
81,65
82,62
83,51
84,40
85,56
86,64
87,59
88,63
89,65
90,36
91,50
92,67
93,72
94,64
95,72
96,65
97,62
98,78
99,68
100,67
101,74
102,77
103,74
104,76
105,44
106,60
107,60
108,39
109,62
110,43
111,60
112,54
113,77
114,47
115,76
116,56
117,64
118,55
119,64
120,61
121,56
122,60
123,74
124,57
125,38
126,60
127,45
128,65
129,71
130,66
131,63
132,48
133,65
134,69
135,62
136,69
137,76
138,59
139,64
140,58
141,69
142,47
143,62
144,55
145,77
146,66
147,39
148,65
149,53
150,71
151,58
152,59
153,67
154,61
155,82
156,37
157,37
158,56
159,54
160,71
161,59
162,19
163,60
164,67
165,58
166,67
167,45
168,72
169,63
170,62
171,74
172,66
173,67
174,55
175,68
176,58
177,67
178,70
179,66
180,74
181,54
182,60
183,70
184,69
185,53
186,51
187,71
188,59
189,70
190,60
191,72
192,48
193,31
194,25
195,62
196,64
197,50
198,59
199,59
200,62
201,68
202,40
203,77
204,70
205,63
206,65
207,55
208,63
209,45
210,51
211,72
212,57
213,49
214,13
215,69
216,61
217,59
218,60
219,60
220,67
221,33
222,62
223,53
224,72
225,73
226,70
227,75
228,49
229,34
230,71
231,63
232,46
233,67
234,52
235,66
236,65
237,62
238,62
239,72
240,37
241,69
242,70
243,55
244,62
245,67
246,79
247,61
248,53
249,50
250,60
251,79
252,63
253,82
254,65
255,64
256,77
257,44
258,12
259,65
260,60
261,57
262,56
263,73
264,66
265,64
266,54
267,64
268,66
269,79
270,46
271,79
272,67
273,69
274,58
275,63
276,36
277,65
278,61
279,52
280,66
281,73
282,65
283,52
284,67
285,73
286,71
287,51
288,65
289,46
290,64
291,44
292,46
293,16
294,70
295,67
296,44
297,77
298,64
299,72
300,62
301,51
302,61
303,68
304,57
305,72
306,38
307,62
308,57
309,29
310,50
311,33
312,61
313,59
314,64
315,65
316,58
317,73
318,11
319,65
320,77
321,44
322,53
323,48
324,78
325,47
326,66
327,24
328,68
329,46
330,65
331,46
332,75
333,72
334,68
335,63
336,69
337,74
338,48
339,56
340,68
341,72
342,67
343,75
344,62
345,82
346,64
347,69
348,60
349,66
350,51
351,63
352,61
353,53
354,62
355,59
356,67
357,63
358,60
359,61
360,55
361,82
362,61
363,63
364,49
365,69
366,68
367,54
368,54
369,56
370,60
371,65
372,69
373,74
374,56
375,48
376,74
377,78
378,44
379,28
380,44
381,55
382,52
383,62
384,63
385,56
386,65
387,41
388,67
389,59
390,65
391,60
392,35
393,52
394,47
395,43
396,70
397,62
398,60
399,61
400,40
401,74
402,55
403,62
404,62
405,52
406,54
407,50
408,59
409,64
410,64
411,52
412,64
413,68
414,57
415,41
416,28
417,59
418,52
419,63
420,75
421,65
422,57
423,62
424,56
425,65
426,47
427,57
428,71
429,54
430,67
431,64
432,51
433,60
434,47
435,66
436,57
437,35
438,77
439,82
440,63
441,63
442,71
443,5
444,61
445,63
446,55
447,68
448,60
449,72
450,17
451,71
452,61
453,76
454,37
455,65
456,55
457,36
458,65
459,48
460,74
461,68
462,43
463,37
464,70
465,55
466,67
467,67
468,60
469,31
470,44
471,48
472,43
473,49
474,47
475,59
476,73
477,64
478,63
479,51
480,68
481,64
482,67
483,33
484,56
485,64
486,55
487,71
488,64
489,84
490,67
491,55
492,21
493,63
494,66
495,54
496,73
497,59
498,57
499,68
500,65
501,73
502,49
503,67
504,60
505,65
506,63
507,62
508,70
509,61
510,48
511,68
512,68
513,40
514,52
515,39
516,56
517,49
518,54
519,75
520,59
521,75
522,46
523,63
524,56
525,63
526,46
527,47
528,63
529,65
530,54
531,57
532,71
533,68
534,54
535,83
536,56
537,64
538,61
539,55
540,81
541,61
542,69
543,65
544,38
545,78
546,60
547,73
548,31
549,66
550,75
551,52
552,67
553,70
554,64
555,74
556,50
557,38
558,43
559,63
560,55
561,54
562,72
563,55
564,62
565,66
566,65
567,61
568,52
569,64
570,68
571,50
572,62
573,56
574,57
575,35
576,76
577,59
578,42
579,65
580,44
581,75
582,62
583,57
584,44
585,56
586,54
587,69
588,54
589,64
590,74
591,80
592,57
593,56
594,60
595,67
596,66
597,64
598,32
599,59
600,72
601,36
602,59
603,64
604,59
605,64
606,66
607,52
608,78
609,42
610,51
611,76
612,77
613,68
614,76
615,60
616,64
617,63
618,63
619,48
620,82
621,75
622,58
623,61
624,62
625,74
626,81
627,62
628,39
629,34
630,65
631,72
632,77
633,80
634,73
635,58
636,59
637,51
638,23
639,66
640,66
641,53
642,62
643,49
644,71
645,73
646,61
647,58
648,67
649,67
650,60
651,63
652,58
653,76
654,68
655,18
656,67
657,59
658,51
659,45
660,70
661,65
662,83
663,54
664,68
665,55
666,65
667,68
668,47
669,56
670,61
671,26
672,57
673,60
674,78
675,54
676,59
677,72
678,47
679,46
680,59
681,57
682,58
683,55
684,66
685,54
686,59
687,65
688,49
689,48
690,35
691,63
692,73
693,51
694,67
695,69
696,72
697,64
698,72
699,66
700,58
701,72
702,38
703,84
704,55
705,47
706,64
707,54
708,77
709,43
710,60
711,78
712,44
713,20
714,62
715,42
716,75
717,70
718,43
719,37
720,67
721,73
722,55
723,77
724,57
725,79
726,68
727,53
728,32
729,69
730,64
731,62
732,30
733,70
734,60
735,64
736,64
737,48
738,72
739,61
740,48
741,66
742,58
743,46
744,33
745,66
746,45
747,63
748,39
749,23
750,52
751,32
752,68
753,60
754,38
755,75
756,63
757,70
758,51
759,60
760,63
761,62
762,60
763,51
764,53
765,72
766,65
767,72
768,72
769,69
770,62
771,62
772,52
773,73
774,67
775,63
776,67
777,75
778,78
779,60
780,43
781,40
782,67
783,49
784,69
785,66
786,60
787,15
788,81
789,77
790,56
791,76
792,47
793,46
794,59
795,58
796,57
797,58
798,64
799,54
800,62
801,52
802,49
803,73
804,23
805,63
806,62
807,27
808,66
809,65
810,53
811,81
812,66
813,69
814,60
815,67
816,66
817,62
818,66
819,64
820,69
821,58
822,59
823,64
824,57
825,68
826,78
827,84
828,49
829,50
830,70
831,75
832,67
833,57
834,61
835,45
836,33
837,52
838,44
839,56
840,63
841,54
842,66
843,69
844,72
845,56
846,32
847,60
848,59
849,53
850,47
851,60
852,25
853,66
854,59
855,75
856,66
857,73
858,66
859,60
860,64
861,71
862,49
863,56
864,43
865,46
866,66
867,68
868,32
869,40
870,40
871,15
872,64
873,58
874,77
875,68
876,50
877,58
878,49
879,58
880,41
881,57
882,42
883,77
884,73
885,27
886,72
887,57
888,61
889,72
890,20
891,61
892,66
893,47
894,70
895,59
896,72
897,58
898,58
899,64
900,54
901,61
902,65
903,63
904,82
905,69
906,61
907,61
908,63
909,53
910,62
911,62
912,36
913,55
914,68
915,66
916,65
917,74
918,81
919,49
920,61
921,43
922,14
923,62
924,52
925,62
926,65
927,61
928,58
929,72
930,58
931,67
932,81
933,72
934,82
935,56
936,51
937,39
938,46
939,66
940,59
941,62
942,64
943,60
944,40
945,71
946,63
947,65
948,74
949,50
950,74
951,67
952,80
953,25
954,74
955,54
956,63
957,53
958,62
959,80
960,62
961,64
962,57
963,49
964,58
965,29
966,33
967,63
968,69
969,61
970,61
971,64
972,55
973,50
974,58
975,53
976,67
977,73
978,69
979,75
980,38
981,67
982,45
983,69
984,75
985,65
986,55
987,60
988,53
989,72
990,48
991,63
992,69
993,65
994,67
995,38
996,66
997,29
998,56
999,82
