,english,math
0,63,75
1,67,67
2,61,59
3,50,68
4,80,92
5,74,66
6,52,71
7,73,44
8,39,36
9,44,87
10,59,48
11,70,44
12,72,67
13,18,21
14,51,62
15,49,87
16,41,29
17,51,67
18,59,75
19,39,72
20,77,89
21,51,60
22,90,90
23,70,16
24,60,10
25,46,56
26,63,79
27,29,65
28,89,61
29,50,67
30,42,61
31,48,81
32,47,56
33,84,83
34,47,76
35,77,43
36,16,86
37,73,42
38,68,52
39,55,97
40,69,80
41,73,40
42,51,22
43,73,15
44,66,82
45,70,70
46,49,86
47,80,91
48,70,50
49,68,28
50,58,56
51,44,73
52,38,19
53,52,22
54,27,16
55,90,54
56,37,49
57,64,42
58,35,69
59,37,59
60,35,54
61,45,47
62,34,34
63,51,51
64,48,93
65,68,58
66,74,69
67,54,79
68,66,47
69,68,60
70,64,27
71,69,63
72,47,52
73,54,52
74,51,65
75,15,16
76,54,25
77,57,69
78,79,27
79,37,60
80,68,78
81,53,88
82,65,21
83,53,56
84,73,74
85,46,64
86,77,22
87,36,90
88,67,53
89,65,67
90,83,66
91,83,46
92,85,57
93,84,84
94,75,63
95,44,58
96,33,69
97,88,91
98,67,86
99,69,41
100,58,85
101,44,46
102,40,25
103,79,37
104,61,50
105,56,43
106,71,60
107,62,17
108,50,51
109,44,25
110,37,80
111,58,48
112,90,61
113,41,27
114,53,87
115,69,76
116,68,45
117,59,37
118,66,73
119,72,71
120,63,47
121,68,73
122,31,30
123,59,81
124,27,47
125,55,53
126,39,38
127,73,65
128,46,82
129,82,48
130,61,52
131,51,73
132,66,60
133,61,86
134,48,69
135,34,86
136,75,25
137,60,66
138,63,52
139,63,52
140,53,58
141,62,46
142,48,68
143,74,68
144,59,52
145,50,82
146,49,75
147,70,28
148,39,47
149,58,77
150,71,56
151,47,95
152,85,92
153,73,67
154,38,50
155,76,79
156,52,52
157,63,61
158,43,95
159,50,55
160,54,44
161,76,42
162,44,89
163,51,60
164,78,75
165,20,68
166,81,27
167,34,62
168,45,67
169,54,25
170,84,9
171,39,70
172,59,42
173,51,23
174,74,74
175,62,81
176,49,82
177,60,29
178,53,63
179,43,50
180,66,57
181,58,70
182,50,10
183,58,71
184,51,43
185,67,48
186,94,93
187,66,58
188,43,33
189,45,71
190,13,96
191,45,57
192,73,34
193,64,62
194,37,50
195,75,74
196,85,55
197,85,72
198,56,63
199,55,39
200,84,60
201,86,81
202,21,23
203,77,81
204,73,72
205,43,41
206,64,61
207,74,70
208,53,16
209,78,76
210,70,55
211,66,74
212,64,42
213,65,66
214,67,9
215,75,59
216,71,54
217,65,57
218,40,18
219,26,66
220,41,44
221,64,84
222,63,68
223,75,74
224,72,54
225,64,49
226,65,60
227,62,60
228,52,69
229,80,64
230,49,51
231,73,65
232,32,73
233,55,65
234,61,80
235,72,55
236,69,42
237,86,66
238,76,57
239,70,67
240,72,12
241,62,57
242,65,25
243,53,35
244,64,34
245,88,29
246,51,53
247,64,23
248,62,77
249,33,54
250,62,43
251,51,57
252,56,72
253,45,73
254,70,95
255,69,63
256,63,29
257,70,70
258,31,60
259,39,35
260,77,90
261,72,21
262,43,31
263,60,49
264,80,64
265,70,72
266,68,59
267,50,40
268,85,52
269,53,29
270,57,52
271,78,64
272,45,61
273,41,75
274,89,72
275,49,23
276,91,63
277,57,78
278,49,51
279,87,91
280,55,92
281,52,66
282,69,73
283,64,61
284,29,49
285,40,88
286,61,37
287,27,64
288,67,49
289,23,59
290,38,80
291,70,42
292,72,71
293,64,63
294,67,71
295,20,18
296,73,80
297,49,30
298,79,53
299,57,17
300,65,64
301,81,74
302,78,19
303,58,35
304,20,59
305,74,47
306,61,62
307,67,59
308,73,64
309,68,69
310,71,67
311,57,48
312,77,81
313,74,53
314,33,55
315,79,65
316,73,70
317,78,38
318,42,27
319,63,67
320,31,57
321,85,40
322,53,53
323,57,69
324,56,38
325,38,77
326,77,69
327,63,42
328,50,52
329,60,43
330,57,97
331,47,79
332,66,72
333,50,78
334,61,66
335,64,89
336,62,74
337,50,83
338,59,58
339,43,70
340,88,63
341,41,69
342,57,60
343,61,77
344,70,65
345,78,28
346,76,43
347,27,81
348,39,56
349,45,51
350,47,17
351,78,25
352,53,67
353,80,87
354,53,42
355,54,74
356,78,32
357,52,66
358,33,42
359,59,87
360,50,76
361,69,50
362,50,29
363,75,68
364,71,79
365,92,58
366,69,54
367,83,69
368,72,49
369,58,24
370,71,75
371,33,66
372,87,65
373,59,87
374,48,39
375,74,44
376,31,37
377,71,69
378,63,49
379,72,56
380,58,54
381,44,51
382,78,95
383,67,85
384,35,28
385,77,52
386,81,56
387,68,71
388,56,34
389,76,39
390,68,25
391,32,64
392,65,61
393,56,83
394,56,85
395,73,59
396,64,38
397,84,30
398,90,41
399,72,97
400,37,87
401,65,68
402,63,65
403,67,73
404,74,64
405,36,67
406,47,45
407,67,69
408,22,85
409,46,73
410,19,62
411,57,79
412,17,44
413,58,76
414,52,22
415,55,64
416,60,24
417,47,84
418,85,35
419,82,81
420,67,91
421,62,67
422,86,24
423,47,91
424,50,33
425,77,64
426,90,13
427,50,61
428,81,81
429,23,64
430,65,63
431,37,73
432,52,51
433,63,60
434,83,78
435,21,32
436,27,58
437,50,29
438,42,75
439,46,55
440,63,43
441,39,61
442,23,68
443,74,62
444,57,45
445,59,47
446,39,72
447,61,70
448,62,22
449,24,17
450,46,67
451,80,65
452,68,35
453,45,42
454,80,73
455,70,40
456,56,73
457,72,50
458,53,54
459,67,30
460,36,59
461,72,81
462,68,48
463,24,55
464,73,74
465,49,59
466,42,49
467,19,71
468,77,85
469,40,67
470,27,35
471,61,34
472,63,59
473,47,79
474,76,12
475,27,63
476,36,53
477,61,68
478,49,79
479,68,41
480,66,69
481,58,34
482,49,32
483,76,46
484,73,81
485,53,83
486,33,79
487,74,68
488,24,58
489,63,86
490,56,47
491,76,94
492,54,85
493,69,36
494,61,83
495,47,69
496,53,80
497,52,76
498,31,28
499,70,38
500,71,65
501,50,94
502,50,61
503,51,61
504,70,72
505,38,55
506,74,42
507,69,62
508,89,23
509,64,49
510,68,56
511,46,40
512,73,56
513,52,50
514,67,59
515,53,81
516,59,79
517,77,59
518,53,25
519,77,50
520,86,30
521,56,9
522,73,68
523,35,59
524,73,41
525,46,75
526,63,56
527,68,39
528,45,91
529,17,41
530,78,35
531,34,69
532,73,44
533,34,85
534,82,53
535,81,61
536,73,54
537,73,82
538,30,11
539,20,52
540,42,60
541,50,56
542,17,72
543,49,32
544,40,49
545,55,69
546,58,88
547,54,59
548,87,31
549,44,36
550,49,13
551,64,48
552,64,72
553,48,74
554,90,66
555,52,24
556,62,72
557,56,37
558,71,71
559,52,64
560,55,95
561,47,72
562,75,30
563,67,29
564,59,29
565,40,47
566,59,22
567,70,44
568,64,71
569,45,55
570,51,72
571,66,21
572,49,82
573,80,38
574,65,61
575,17,62
576,63,10
577,77,70
578,79,82
579,60,56
580,46,20
581,71,89
582,66,70
583,42,36
584,62,86
585,33,81
586,85,91
587,60,52
588,90,49
589,80,50
590,82,43
591,55,63
592,77,76
593,57,15
594,53,41
595,30,30
596,59,29
597,86,76
598,66,58
599,39,51
600,72,57
601,61,67
602,52,35
603,47,50
604,73,69
605,66,63
606,64,42
607,57,54
608,49,19
609,33,25
610,91,88
611,36,36
612,61,67
613,72,74
614,58,62
615,54,39
616,62,66
617,48,47
618,68,50
619,27,55
620,84,69
621,23,71
622,73,82
623,23,92
624,82,48
625,69,78
626,65,72
627,33,47
628,42,89
629,58,86
630,75,88
631,22,71
632,38,63
633,77,41
634,74,42
635,25,83
636,61,61
637,77,85
638,60,71
639,58,58
640,44,87
641,50,35
642,40,29
643,75,47
644,38,73
645,45,84
646,82,79
647,64,55
648,39,50
649,50,61
650,74,37
651,48,82
652,72,65
653,31,73
654,29,50
655,93,95
656,85,86
657,40,57
658,48,65
659,79,56
660,69,59
661,52,85
662,53,58
663,59,62
664,58,60
665,63,31
666,59,86
667,19,68
668,58,63
669,50,85
670,20,46
671,53,85
672,66,51
673,76,69
674,64,83
675,66,75
676,62,80
677,64,71
678,53,64
679,46,58
680,86,90
681,73,37
682,17,84
683,86,32
684,63,93
685,55,28
686,63,67
687,50,28
688,62,37
689,36,19
690,76,67
691,80,82
692,67,62
693,23,83
694,66,68
695,38,59
