,x,y,z
0,44.0,97.0,48.0
1,41.0,69.0,43.0
2,55.0,30.0,12.0
3,75.0,74.0,56.0
4,59.0,47.0,46.0
5,78.0,64.0,75.0
6,68.0,60.0,67.0
7,33.0,78.0,50.0
8,86.0,67.0,21.0
9,61.0,86.0,55.0
10,73.0,62.0,71.0
11,61.0,29.0,44.0
12,53.0,46.0,67.0
13,66.0,85.0,34.0
14,69.0,50.0,44.0
15,70.0,87.0,49.0
16,89.0,75.0,56.0
17,62.0,88.0,79.0
18,54.0,10.0,37.0
19,80.0,43.0,50.0
20,69.0,64.0,48.0
21,57.0,37.0,67.0
22,52.0,79.0,29.0
23,27.0,21.0,54.0
24,44.0,49.0,74.0
25,21.0,61.0,45.0
26,48.0,48.0,64.0
27,47.0,70.0,72.0
28,55.0,29.0,58.0
29,83.0,61.0,74.0
30,38.0,42.0,58.0
31,57.0,50.0,61.0
32,62.0,34.0,83.0
33,83.0,96.0,70.0
34,50.0,79.0,36.0
35,91.0,90.0,62.0
36,71.0,47.0,49.0
37,42.0,89.0,41.0
38,34.0,86.0,67.0
39,50.0,59.0,63.0
40,38.0,95.0,71.0
41,70.0,79.0,82.0
42,54.0,47.0,77.0
43,91.0,66.0,54.0
44,52.0,31.0,74.0
45,61.0,75.0,70.0
46,61.0,72.0,84.0
47,58.0,52.0,71.0
48,63.0,74.0,68.0
49,49.0,91.0,49.0
50,48.0,27.0,47.0
51,43.0,54.0,61.0
52,69.0,70.0,70.0
53,87.0,90.0,55.0
54,58.0,55.0,70.0
55,38.0,91.0,53.0
56,44.0,69.0,72.0
57,65.0,62.0,84.0
58,70.0,78.0,63.0
59,51.0,85.0,69.0
60,46.0,69.0,76.0
61,42.0,48.0,63.0
62,73.0,79.0,62.0
63,76.0,70.0,65.0
64,78.0,54.0,66.0
65,34.0,66.0,65.0
66,57.0,42.0,68.0
67,81.0,54.0,80.0
68,39.0,50.0,71.0
69,18.0,57.0,43.0
70,62.0,49.0,43.0
71,49.0,67.0,34.0
72,63.0,79.0,54.0
73,52.0,82.0,51.0
74,49.0,62.0,77.0
75,57.0,60.0,85.0
76,43.0,52.0,80.0
